run_id,chan_id,spacecraft,num_anoms,anomaly_sequences,class,true_positives,false_positives,false_negatives,tp_sequences,fp_sequences,gaussian_p-value,num_values,normalized_error,eval_time,scores
2019-11-14_11.34.30,E-10,SMAP,28,"[[5000, 5050], [5601, 5871]]","[contextual, contextual]",2,2,0,"[(5010, 5193), (5570, 5963)]","[[1721, 2017], [2167, 2349]]",,8505,0.10391026774716967,,"[29.705685261000223, 29.69267855331367, 29.697622677212042, 29.687634608452086]"
2019-11-14_11.34.30,E-11,SMAP,28,"[[5000, 5050], [5614, 5857]]","[contextual, contextual]",2,1,0,"[(5010, 5149), (5570, 5961)]","[[1984, 2196]]",,8514,0.09606343950547998,,"[30.003698800390822, 29.974971943995538, 30.001249791921815]"
2019-11-14_11.34.30,E-12,SMAP,28,"[[5610, 6141], [5000, 5050]]","[contextual, contextual]",2,1,0,"[(5010, 5149), (5570, 5709), (5850, 5919), (6060, 6549)]","[[1752, 1991]]",,8512,0.054780005392197,,"[12.11160834866124, 12.17667305188585, 12.083543858850064, 11.81607625597955, 11.921407394020857]"
2019-11-14_11.34.30,E-13,SMAP,42,"[[5309, 5410], [5600, 5640], [6449, 6569]]","[contextual, contextual, contextual]",1,1,2,"[(6480, 6549)]","[[1350, 1689]]",,8640,0.04640870954837889,,"[20.608389909803677, 20.40085114458798]"
2019-11-14_11.34.30,A-1,SMAP,14,"[[4690, 4774]]",[point],1,0,0,"[(4730, 4919)]",[],,8640,0.0031680189375376646,,[257.7189366339073]
2019-11-14_11.34.30,D-1,SMAP,14,"[[5250, 8508]]",[point],1,0,0,"[(5220, 5359), (5570, 5919)]",[],,8509,0.07736955499632991,,"[9.83402003000334, 9.88995929477064]"
2019-11-14_11.34.30,P-2,SMAP,14,"[[5350, 6575]]",[point],1,0,0,"[(5290, 5751)]",[],,8209,0.05206462768148215,,[7.826081024339995]
2019-11-14_11.34.30,P-3,SMAP,14,"[[5401, 6736]]",[point],1,0,0,"[(5360, 5676), (5780, 6059)]",[],,8493,0.02721170989314269,,"[17.333823358270944, 16.85595153707218]"
2019-11-14_11.34.30,D-2,SMAP,14,"[[4319, 8536]]",[point],1,0,0,"[(4660, 4869), (8440, 8509)]",[],,8595,0.02393420303411375,,"[24.405528182545858, 23.66504488922876]"
2019-11-14_11.34.30,D-3,SMAP,14,"[[5225, 8500]]",[point],1,0,0,"[(5360, 5919)]",[],,8640,0.06762760697718086,,[38.91430593319645]
2019-11-14_11.34.30,D-4,SMAP,14,"[[5225, 8472]]",[point],1,0,0,"[(5220, 5779)]",[],,8473,0.05621550378309564,,[48.34595430531751]
2019-11-14_11.34.30,A-2,SMAP,14,"[[4450, 4560]]",[contextual],1,1,0,"[(4450, 4659)]","[[989, 1298]]",,7914,0.077896948613673,,"[11.78067866417832, 11.86989431800247]"
2019-11-14_11.34.30,A-3,SMAP,14,"[[4575, 4760]]",[contextual],1,1,0,"[(4590, 4869)]","[[1086, 1360]]",,8205,0.0474964444099504,,"[20.798471806472303, 20.71191802033068]"
2019-11-14_11.34.30,A-4,SMAP,14,"[[4550, 4660]]",[contextual],1,0,0,"[(4520, 4729)]",[],,8080,0.05661884312304501,,[20.488799141325334]
2019-11-14_11.34.30,G-1,SMAP,14,"[[4770, 4890]]",[contextual],0,1,1,[],"[[8389, 8458]]",,8469,0.07743574583110273,,[10.007555827871167]
2019-11-14_11.34.30,G-2,SMAP,14,"[[4030, 4070]]",[point],0,0,1,[],[],,7361,0.005050102433190012,,[]
2019-11-14_11.34.30,D-5,SMAP,14,"[[4800, 4850]]",[point],1,0,0,"[(4800, 4939)]",[],,7628,0.04901945192568858,,[20.18745527156446]
2019-11-14_11.34.30,D-6,SMAP,14,"[[4870, 4950]]",[point],1,0,0,"[(4870, 5009)]",[],,7884,0.042682472793566774,,[24.357608723722834]
2019-11-14_11.34.30,D-7,SMAP,14,"[[4940, 7641]]",[point],1,0,0,"[(5010, 5359), (5430, 5639), (5710, 5849), (7460, 7529)]",[],,7642,0.04786591376857976,,"[52.46729173563059, 51.95007552858507, 51.52650559883714, 51.91006907752064]"
2019-11-14_11.34.30,F-1,SMAP,14,"[[5392, 5492]]",[point],0,1,1,[],"[[7530, 7599]]",,8584,0.08569739424993032,,[11.344551982010753]
2019-11-14_11.34.30,P-4,SMAP,41,"[[950, 1080], [2150, 2350], [4770, 4880]]","[point, point, point]",3,0,0,"[(932, 1184), (2172, 2349), (4800, 4980)]",[],,7783,0.004103419065047622,,"[77.31937650353557, 77.32548775724173, 77.32548776035784]"
2019-11-14_11.34.30,G-3,SMAP,14,"[[4200, 4250]]",[point],0,1,1,[],"[[5640, 5709]]",,7907,0.0031548081222851944,,[300.8567475433768]
2019-11-14_11.34.30,T-1,SMAP,28,"[[2399, 3898], [6550, 6585]]","[point, contextual]",1,2,1,"[(2560, 2909)]","[[3960, 4029], [6620, 6689]]",,8612,0.05903277359004708,,"[18.51841690869748, 18.251791783864153, 17.76087274713313]"
2019-11-14_11.34.30,T-2,SMAP,14,"[[6840, 8624]]",[point],0,0,1,[],[],,8625,0.02877550433496035,,[]
2019-11-14_11.34.30,D-8,SMAP,14,"[[4370, 4420]]",[point],1,0,0,"[(4380, 4552)]",[],,7874,0.005153014175623209,,[185.78570945246278]
2019-11-14_11.34.30,D-9,SMAP,14,"[[6250, 7405]]",[point],1,0,0,"[(6410, 6619), (7326, 7395)]",[],,7406,0.020864198955019383,,"[30.17789653747273, 28.89692106734264]"
2019-11-14_11.34.30,F-2,SMAP,14,"[[5669, 8625]]",[point],1,0,0,"[(6760, 6969)]",[],,8626,0.06032459790239979,,[77.85827302006726]
2019-11-14_11.34.30,G-4,SMAP,14,"[[4690, 4720]]",[point],1,0,0,"[(4660, 4869)]",[],,7632,0.004017874481104927,,[846.9260240752593]
2019-11-14_11.34.30,T-3,SMAP,28,"[[2098, 2180], [5200, 5300]]","[point, point]",2,0,0,"[(2058, 2317), (5220, 5406)]",[],,8579,0.006793068489805491,,"[651.5787813675207, 651.5336851922144]"
2019-11-14_11.34.30,D-11,SMAP,14,"[[4270, 4330]]",[point],1,0,0,"[(4240, 4438)]",[],,7431,0.007014014834235482,,[480.5768746294151]
2019-11-14_11.34.30,D-12,SMAP,14,"[[5178, 7917]]",[point],1,0,0,"[(5360, 5709), (6270, 6409)]",[],,7918,0.07522350941841767,,"[55.22740711524739, 54.706388339108194]"
2019-11-14_11.34.30,B-1,SMAP,14,"[[5060, 5130]]",[point],1,0,0,"[(5010, 5251)]",[],,8044,0.01734638668143048,,[44.903703498087225]
2019-11-14_11.34.30,G-6,SMAP,14,"[[5600, 5700]]",[point],1,0,0,"[(5640, 5826)]",[],,8640,0.00943239743409098,,[309.8304683375428]
2019-11-14_11.34.30,G-7,SMAP,42,"[[3650, 3750], [5050, 5100], [7560, 7675]]","[contextual, point, contextual]",3,2,0,"[(3610, 3876), (5010, 5213), (7530, 7808)]","[[1128, 1445], [2700, 2769]]",,8029,0.017573254062242836,,"[24.83281947954602, 24.651556821767745, 24.830890137528744, 24.677254700117256, 24.832091729444016]"
2019-11-14_11.34.30,P-7,SMAP,14,"[[4950, 6600]]",[contextual],1,1,0,"[(5010, 5289), (5360, 5429)]","[[2350, 2419]]",,8071,0.030358388264235106,,"[124.25603484611125, 124.25115378638733, 123.58429809092476]"
2019-11-14_11.34.30,R-1,SMAP,14,"[[4510, 4590]]",[point],1,0,0,"[(4520, 4725)]",[],,7244,0.010632637017678559,,[100.83075913923702]
2019-11-14_11.34.30,A-5,SMAP,14,"[[2750, 2800]]",[point],1,0,0,"[(2700, 2979)]",[],,4693,0.05481735479937284,,[53.82606242434206]
2019-11-14_11.34.30,A-6,SMAP,14,"[[1890, 1930]]",[point],1,0,0,"[(1805, 2084)]",[],,4453,0.035833015378932416,,[24.757844919827154]
2019-11-14_11.34.30,A-7,SMAP,14,"[[6200, 8600]]",[contextual],1,0,0,"[(6270, 6689), (8440, 8509)]",[],,8631,0.0610579697691008,,"[15.84733077229746, 15.101028523457357]"
2019-11-14_11.34.30,D-13,SMAP,14,"[[5070, 5230]]",[point],1,0,0,"[(5080, 5359)]",[],,7663,0.0660505077542364,,[9.353609499814006]
2019-11-14_11.34.30,P-2,SMAP,14,"[[5300, 6420]]",[point],1,0,0,"[(5290, 5709)]",[],,8209,0.05249288385668373,,[7.788734396743325]
2019-11-14_11.34.30,A-8,SMAP,14,"[[4569, 8374]]",[contextual],1,0,0,"[(7530, 8229), (8295, 8364)]",[],,8375,0.10819955209511092,,"[9.00054152560605, 7.570757830347317]"
2019-11-14_11.34.30,A-9,SMAP,14,"[[4569, 8433]]",[contextual],0,0,1,[],[],,8434,0.4695516413676852,,[]
2019-11-14_11.34.30,F-3,SMAP,14,"[[5600, 5640]]",[contextual],0,0,1,[],[],,8376,0.0049287768210169395,,[]
2019-11-14_11.34.30,M-6,MSL,14,"[[1850, 2030]]",[point],1,0,0,"[(1816, 2038)]",[],,2049,0.04915039355569077,,[3.1560017067901818]
2019-11-14_11.34.30,M-1,MSL,14,"[[1110, 2250]]",[contextual],0,0,1,[],[],,2277,0.04931644492429636,,[]
2019-11-14_11.34.30,M-2,MSL,14,"[[1110, 2250]]",[contextual],0,0,1,[],[],,2277,0.0937823988110528,,[]
2019-11-14_11.34.30,S-2,MSL,12,"[[900, 910]]",[point],1,0,0,"[(807, 1065)]",[],,1827,0.007576315244748931,,[70.78920017662493]
2019-11-14_11.34.30,P-10,MSL,14,"[[4590, 4720]]",[point],1,0,0,"[(4590, 4799)]",[],,6100,0.02365091847760677,,[21.40713623740504]
2019-11-14_11.34.30,T-4,MSL,14,"[[1172, 1240]]",[point],0,1,1,[],"[[500, 812]]",,2217,0.09990163094530194,,[9.932390906857457]
2019-11-14_11.34.30,T-5,MSL,14,"[[1200, 1225]]",[point],1,0,0,"[(1115, 1378)]",[],,2218,0.00849960781563186,,[56.6278134049332]
2019-11-14_11.34.30,F-7,MSL,42,"[[1250, 1450], [2670, 2790], [3325, 3425]]","[contextual, contextual, contextual]",2,1,1,"[(1303, 1576), (2700, 2839)]","[[1971, 2173]]",,5054,0.17684720433282433,,"[4.844644010561465, 4.9133144801577995, 4.516535458391338]"
2019-11-14_11.34.30,M-3,MSL,14,"[[1250, 1500]]",[contextual],0,0,1,[],[],,2127,0.07241381113389048,,[]
2019-11-14_11.34.30,M-4,MSL,14,"[[1250, 1500]]",[contextual],1,0,0,"[(1338, 1586)]",[],,2038,0.08053361375777804,,[9.414453334419187]
2019-11-14_11.34.30,M-5,MSL,14,"[[1250, 1550]]",[contextual],1,0,0,"[(1463, 1791)]",[],,2303,0.10262650638329876,,[6.336232464307983]
2019-11-14_11.34.30,P-15,MSL,14,"[[1390, 1410]]",[point],0,0,1,[],[],,2856,0.11856549948783586,,[]
2019-11-14_11.34.30,C-1,MSL,26,"[[550, 750], [2100, 2210]]","[point, contextual]",1,0,1,"[(500, 760)]",[],,2264,0.03065416481950568,,[22.601272357051325]
2019-11-14_11.34.30,C-2,MSL,26,"[[290, 390], [1540, 1575]]","[point, contextual]",1,0,1,"[(250, 443)]",[],,2051,0.1137166550621824,,[5.9811476843026545]
2019-11-14_11.34.30,T-12,MSL,12,"[[630, 750]]",[contextual],1,0,0,"[(617, 843)]",[],,2430,0.0199490932549342,,[43.581737641810214]
2019-11-14_11.34.30,T-13,MSL,26,"[[690, 790], [1900, 2050]]","[contextual, contextual]",0,0,2,[],[],,2430,0.015126773901913639,,[]
2019-11-14_11.34.30,F-4,MSL,14,"[[2700, 2770]]",[point],1,0,0,"[(2700, 2769)]",[],,3422,0.03258988981184281,,[19.917889773225955]
2019-11-14_11.34.30,F-5,MSL,14,"[[3550, 3700]]",[point],1,0,0,"[(3540, 3811)]",[],,3922,0.018336173255911546,,[4.427836363550049]
2019-11-14_11.34.30,D-14,MSL,28,"[[1630, 1650], [1800, 2000]]","[point, point]",1,0,1,"[(1789, 2123)]",[],,2625,0.040546243574568167,,[10.672812443921284]
2019-11-14_11.34.30,T-9,MSL,24,"[[780, 810], [890, 970]]","[point, point]",0,0,2,[],[],,1096,0.18782143297011325,,[]
2019-11-14_11.34.30,P-14,MSL,14,"[[4575, 4755]]",[point],1,0,0,"[(4590, 4799)]",[],,6100,0.021729302590858344,,[24.139917514545697]
2019-11-14_11.34.30,T-8,MSL,26,"[[870, 930], [1330, 1370]]","[contextual, contextual]",2,0,0,"[(787, 1034), (1274, 1488)]",[],,1519,0.04404260313001522,,"[21.14492133699353, 21.13473260145695]"
2019-11-14_11.34.30,P-11,MSL,28,"[[1778, 1898], [1238, 1344]]","[point, point]",2,0,0,"[(1205, 1462), (1751, 2008)]",[],,3535,0.025840295979690227,,"[53.400772859806565, 53.355739430567986]"
2019-11-14_11.34.30,D-15,MSL,14,"[[1500, 2140]]",[point],1,0,0,"[(1753, 2147)]",[],,2158,0.12900159343937345,,[5.620920198261067]
2019-11-14_11.34.30,D-16,MSL,13,"[[600, 1250]]",[contextual],1,0,0,"[(700, 951)]",[],,2191,0.17527364809830928,,[4.203717745349439]
2019-11-14_11.34.30,M-7,MSL,13,"[[940, 1040]]",[point],1,0,0,"[(863, 1154)]",[],,2156,0.028276347989305863,,[18.676120401400116]
2019-11-14_11.34.30,F-8,MSL,14,"[[1950, 2486]]",[contextual],1,0,0,"[(1909, 2212)]",[],,2487,0.07081026850833859,,[12.709702142189805]
