run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2018-05-19_15.00.10,G-1,2560,8209,1,0.0653990003824348,[3.1717221688452137],1,1,0,"[[5990, 6129]]",[],1,[3.1717221688452137],SMAP,"[[4770, 4890]]",[contextual]
2018-05-19_15.00.10,G-2,2218,7101,1,0.007272604695005729,[5.363814176092378],0,0,1,[],"[(4030, 4169)]",1,[5.363814176092378],SMAP,"[[4030, 4070]]",[point]
2018-05-19_15.00.10,D-5,2301,7368,1,0.11522688701159733,[2.2497392055739462],0,0,1,[],"[(4800, 4939)]",1,[2.2497392055739462],SMAP,"[[4800, 4850]]",[point]
2018-05-19_15.00.10,D-6,2334,7624,1,0.045726233067807306,[3.32341876011755],0,0,1,[],"[(4870, 5009)]",1,[3.32341876011755],SMAP,"[[4870, 4950]]",[point]
2018-05-19_15.00.10,D-7,2323,7382,3,0.0461309625401556,"[9.706559242972263, 8.925495418518826, 8.239466579566711]",0,0,1,[],"[(5010, 5359), (5430, 5639), (5710, 5849)]",1,"[9.706559242972263, 8.925495418518826, 8.239466579566711]",SMAP,"[[4940, 7641]]",[point]
2018-05-19_15.00.10,F-1,2609,8324,1,0.09898961946319498,[1.377292175726196],1,1,0,"[[7530, 7599]]",[],1,[1.377292175726196],SMAP,"[[5392, 5492]]",[point]
2018-05-19_15.00.10,P-4,2349,7523,3,0.015616754060268212,"[8.734114304783578, 7.472550676449003, 5.425981297183877]",0,0,3,[],"[(931, 1186), (2171, 2349), (4800, 4981)]",3,"[8.734114304783578, 7.472550676449003, 5.425981297183877]",SMAP,"[[950, 1080], [2150, 2350], [4770, 4880]]","[point, point, point]"
2018-05-19_15.00.10,G-3,2364,7647,2,0.005209543955346347,"[6.716230002152881, 5.664028705807607]",1,0,1,"[[5640, 5709]]","[(4170, 4377)]",1,"[6.716230002152881, 5.664028705807607]",SMAP,"[[4200, 4250]]",[point]
2018-05-19_15.00.10,T-1,2615,8352,3,0.0524167089835578,"[3.0469363118096515, 5.151416427824976, 2.2633108122476115]",2,1,1,"[[3960, 4029], [6620, 6689]]","[(2560, 2979)]",2,"[3.0469363118096515, 5.151416427824976, 2.2633108122476115]",SMAP,"[[2399, 3898], [6550, 6585]]","[point, contextual]"
2018-05-19_15.00.10,T-2,2595,8365,1,0.036359774234898765,[2.660751063372037],0,0,1,[],"[(6900, 7039)]",1,[2.660751063372037],SMAP,"[[6840, 8624]]",[point]
2018-05-19_15.00.10,D-8,2342,7614,0,0.0018576401400071353,[],0,1,0,[],[],1,[],SMAP,"[[4370, 4420]]",[point]
2018-05-19_15.00.10,D-9,2323,7146,2,0.01523706802028069,"[10.64324279249464, 7.83465413030666]",0,0,1,[],"[(6410, 6619), (7326, 7395)]",1,"[10.64324279249464, 7.83465413030666]",SMAP,"[[6250, 7405]]",[point]
2018-05-19_15.00.10,F-2,2601,8366,1,0.04806848229736123,[3.4105390154720068],0,0,1,[],"[(6760, 6969)]",1,[3.4105390154720068],SMAP,"[[5669, 8625]]",[point]
2018-05-19_15.00.10,G-4,2291,7372,1,0.007885552142634056,[7.926250587311324],0,0,1,[],"[(4660, 4869)]",1,[7.926250587311324],SMAP,"[[4690, 4720]]",[point]
2018-05-19_15.00.10,T-3,2616,8319,2,0.004002701140071047,"[7.773052880091911, 8.138841489525548]",0,0,2,[],"[(2057, 2320), (5220, 5417)]",2,"[7.773052880091911, 8.138841489525548]",SMAP,"[[2098, 2180], [5200, 5300]]","[point, point]"
2018-05-19_15.00.10,D-11,2351,7171,1,0.01489135061930047,[16.84005058991966],0,0,1,[],"[(4240, 4449)]",1,[16.84005058991966],SMAP,"[[4270, 4330]]",[point]
2018-05-19_15.00.10,D-12,52,7658,2,0.08422855544728945,"[3.6879447325479933, 5.933604003583002]",0,0,1,[],"[(5360, 5709), (7320, 7529)]",1,"[3.6879447325479933, 5.933604003583002]",SMAP,"[[5178, 7917]]",[point]
2018-05-19_15.00.10,B-1,2175,7784,1,0.04003170643931203,[10.465675115274706],0,0,1,[],"[(5010, 5219)]",1,[10.465675115274706],SMAP,"[[5060, 5130]]",[point]
2018-05-19_15.00.10,G-6,2621,8380,1,0.0075824219586111945,[9.659500346434701],0,0,1,[],"[(5640, 5779)]",1,[9.659500346434701],SMAP,"[[5600, 5700]]",[point]
2018-05-19_15.00.10,G-7,2186,7769,3,0.03148384550153588,"[9.711777713398169, 8.396578614530656, 10.349755819902432]",0,0,3,[],"[(3610, 3878), (5010, 5217), (7530, 7810)]",3,"[9.711777713398169, 8.396578614530656, 10.349755819902432]",SMAP,"[[3650, 3750], [5050, 5100], [7560, 7675]]","[contextual, point, contextual]"
2018-05-19_15.00.10,P-7,2593,7811,2,0.03213461859961625,"[5.64060574242968, 5.647904108869424]",0,0,1,[],"[(5010, 5289), (5360, 5429)]",1,"[5.64060574242968, 5.647904108869424]",SMAP,"[[4950, 6600]]",[contextual]
2018-05-19_15.00.10,R-1,2614,6984,1,0.013195227759059215,[3.2354282692345238],0,0,1,[],"[(4520, 4726)]",1,[3.2354282692345238],SMAP,"[[4510, 4590]]",[point]
2018-05-19_15.00.10,A-5,445,4433,1,0.04575839744097326,[12.269136642721893],0,0,1,[],"[(2700, 2979)]",1,[12.269136642721893],SMAP,"[[2750, 2800]]",[point]
2018-05-19_15.00.10,A-6,422,4193,1,0.011168296143502865,[10.481580454283721],0,0,1,[],"[(1805, 2084)]",1,[10.481580454283721],SMAP,"[[1890, 1930]]",[point]
2018-05-19_15.00.10,A-7,2619,8371,2,0.06368913623622875,"[4.539162377958209, 1.234723247372435]",0,0,1,[],"[(6200, 6689), (8300, 8509)]",1,"[4.539162377958209, 1.234723247372435]",SMAP,"[[6200, 8600]]",[contextual]
2018-05-19_15.00.10,D-13,1230,7403,1,0.02315986094819957,[10.028533066136328],0,0,1,[],"[(5080, 5343)]",1,[10.028533066136328],SMAP,"[[5070, 5230]]",[point]
2018-05-19_15.00.10,P-2,2561,7949,1,0.05388438738300663,[13.217212418189407],0,0,1,[],"[(5290, 5709)]",1,[13.217212418189407],SMAP,"[[5300, 6420]]",[point]
2018-05-19_15.00.10,A-8,502,8115,2,0.09775068615421302,"[8.199624097221204, 9.746116118182636]",0,0,1,[],"[(7880, 8229), (8295, 8364)]",1,"[8.199624097221204, 9.746116118182636]",SMAP,"[[4569, 8374]]",[contextual]
2018-05-19_15.00.10,A-9,502,8174,0,0.47224898530315745,[],0,1,0,[],[],1,[],SMAP,"[[4569, 8433]]",[contextual]
2018-05-19_15.00.10,F-3,2620,8116,0,0.009527160557465318,[],0,1,0,[],[],1,[],SMAP,"[[5600, 5640]]",[contextual]
2018-05-19_15.00.10,M-6,1305,1789,1,0.049994356124265386,[12.056149587243608],0,0,1,[],"[(1815, 2038)]",1,[12.056149587243608],MSL,"[[1850, 2030]]",[point]
2018-05-19_15.00.10,M-1,1949,2017,0,0.05662120581128838,[],0,1,0,[],[],1,[],MSL,"[[1110, 2250]]",[contextual]
2018-05-19_15.00.10,M-2,1948,2017,0,0.09978750883674312,[],0,1,0,[],[],1,[],MSL,"[[1110, 2250]]",[contextual]
2018-05-19_15.00.10,S-2,666,1567,1,0.011039677363105389,[8.696106573080577],0,0,1,[],"[(806, 1064)]",1,[8.696106573080577],MSL,"[[900, 910]]",[point]
2018-05-19_15.00.10,P-10,4048,5840,1,0.06488967093350409,[11.508316476492856],0,0,1,[],"[(4590, 5009)]",1,[11.508316476492856],MSL,"[[4590, 4720]]",[point]
2018-05-19_15.00.10,T-4,2012,1957,0,0.10035521015486792,[],0,1,0,[],[],1,[],MSL,"[[1172, 1240]]",[point]
2018-05-19_15.00.10,T-5,2012,1958,1,0.007879819114869588,[12.319131674587176],0,0,1,[],"[(1114, 1381)]",1,[12.319131674587176],MSL,"[[1200, 1225]]",[point]
2018-05-19_15.00.10,F-7,2251,4794,3,0.16883712681856822,"[3.9276375679388003, 3.8424011631597415, 4.172172540715242]",1,1,2,"[[1967, 2206]]","[(1322, 1576), (2700, 2839)]",3,"[3.9276375679388003, 3.8424011631597415, 4.172172540715242]",MSL,"[[1250, 1450], [2670, 2790], [3325, 3425]]","[contextual, contextual, contextual]"
2018-05-19_15.00.10,M-3,1777,1867,1,0.08302027521572336,[4.735614868979888],0,0,1,[],"[(1372, 1652)]",1,[4.735614868979888],MSL,"[[1250, 1500]]",[contextual]
2018-05-19_15.00.10,M-4,1816,1778,1,0.11525886836317291,[4.282517199774156],0,0,1,[],"[(1315, 1595)]",1,[4.282517199774156],MSL,"[[1250, 1500]]",[contextual]
2018-05-19_15.00.10,M-5,1772,2043,1,0.09464712576368162,[4.600139177156053],0,0,1,[],"[(1529, 1793)]",1,[4.600139177156053],MSL,"[[1250, 1550]]",[contextual]
2018-05-19_15.00.10,P-15,3422,2596,1,0.017932750234756916,[8.95415082252611],0,0,1,[],"[(1300, 1567)]",1,[8.95415082252611],MSL,"[[1390, 1410]]",[point]
2018-05-19_15.00.10,C-1,1898,2004,1,0.028989685353765903,[6.266669921114471],0,1,1,[],"[(500, 757)]",2,[6.266669921114471],MSL,"[[550, 750], [2100, 2210]]","[point, contextual]"
2018-05-19_15.00.10,C-2,504,1791,1,0.10921942980704025,[6.1673320014040485],0,1,1,[],"[(250, 445)]",2,[6.1673320014040485],MSL,"[[290, 390], [1540, 1575]]","[point, contextual]"
2018-05-19_15.00.10,T-12,885,2170,1,0.023690647254759965,[5.543311193851068],0,0,1,[],"[(616, 852)]",1,[5.543311193851068],MSL,"[[630, 750]]",[contextual]
2018-05-19_15.00.10,T-13,885,2170,0,0.03198340572652695,[],0,2,0,[],[],2,[],MSL,"[[690, 790], [1900, 2050]]","[contextual, contextual]"
2018-05-19_15.00.10,F-4,1984,3162,1,0.035111640561087426,[7.009421779108329],0,0,1,[],"[(2700, 2839)]",1,[7.009421779108329],MSL,"[[2700, 2770]]",[point]
2018-05-19_15.00.10,F-5,2338,3662,1,0.018475877816588947,[14.152522391730997],0,0,1,[],"[(3540, 3813)]",1,[14.152522391730997],MSL,"[[3550, 3700]]",[point]
2018-05-19_15.00.10,D-14,3415,2365,1,0.02943187581852857,[10.025303505940375],0,1,1,[],"[(1891, 2119)]",2,[10.025303505940375],MSL,"[[1630, 1650], [1800, 2000]]","[point, point]"
2018-05-19_15.00.10,T-9,179,836,0,0.1624373189375822,[],0,2,0,[],[],2,[],MSL,"[[780, 810], [890, 970]]","[point, point]"
2018-05-19_15.00.10,P-14,2620,5840,1,0.03828416788267899,[14.10696360333028],0,0,1,[],"[(4590, 4869)]",1,[14.10696360333028],MSL,"[[4575, 4755]]",[point]
2018-05-19_15.00.10,T-8,488,1259,2,0.03970803753422556,"[4.407013980375386, 4.2558926114087425]",0,0,2,[],"[(786, 1036), (1273, 1488)]",2,"[4.407013980375386, 4.2558926114087425]",MSL,"[[870, 930], [1330, 1370]]","[contextual, contextual]"
2018-05-19_15.00.10,P-11,3709,3275,2,0.02410841180487047,"[3.511053837640646, 3.6618481762899315]",0,0,2,[],"[(1190, 1464), (1750, 2010)]",2,"[3.511053837640646, 3.6618481762899315]",MSL,"[[1778, 1898], [1238, 1344]]","[point, point]"
2018-05-19_15.00.10,D-15,1814,1898,1,0.15208771813506827,[3.3455765655852594],0,0,1,[],"[(1751, 2147)]",1,[3.3455765655852594],MSL,"[[1500, 2140]]",[point]
2018-05-19_15.00.10,D-16,1191,1931,1,0.1704966039486326,[5.48277629855431],0,0,1,[],"[(726, 957)]",1,[5.48277629855431],MSL,"[[600, 1250]]",[contextual]
2018-05-19_15.00.10,M-7,1327,1896,1,0.0245076957597478,[10.371597077869554],0,0,1,[],"[(861, 1156)]",1,[10.371597077869554],MSL,"[[940, 1040]]",[point]
2018-05-19_15.00.10,F-8,3082,2227,1,0.08267351380538489,[5.0580340941692645],0,0,1,[],"[(1915, 2238)]",1,[5.0580340941692645],MSL,"[[1950, 2486]]",[contextual]
